category,table,rowKey,column,value,reason
"missing-user","AbpRoleClaims","a000489b-ab0b-41b5-baa8-e38305dab5f4","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","a0ec6afb-6733-4a1b-bc65-e99ae00c15f1","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","a21c010e-3535-4dec-8d34-5863e4c0d5a3","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","a2e5aa28-6fc8-4161-96bb-9ce65257606a","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","a2edcc32-c99c-40ee-b952-d02d86bb79d4","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","a4ed3633-0a72-4df0-9eea-eade8f64800f","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","a4f25bd6-8595-4311-a5ae-b874476a98ac","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","a68f179c-6b51-4c78-ae15-7f02c3bd8589","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","a6c70977-df2c-4341-a2fe-7fec921ff536","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","a7f14c09-d693-4101-bb46-31980a526f5d","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","a806068c-aee7-4df6-a36d-6adf6e8d820d","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","a8e550d9-8c19-40ef-8e42-56d1e6946f07","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
